Sequence Name,mcg,gvh,alm,mit,erl,pox,vac,nuc,Class
NOP2_YEAST,0.43,0.28,0.53,0.34,0.5,0.0,0.55,0.57,NUC
TYE7_YEAST,0.36,0.52,0.61,0.33,0.5,0.0,0.52,0.37,NUC
SIC1_YEAST,0.42,0.43,0.67,0.7,0.5,0.0,0.42,0.25,CYT
SC72_YEAST,0.59,0.55,0.57,0.18,0.5,0.0,0.51,0.22,CYT
RFC1_YEAST,0.26,0.36,0.47,0.34,0.5,0.0,0.53,0.72,NUC
PAP_YEAST,0.64,0.52,0.5,0.26,0.5,0.0,0.51,0.31,NUC
ISP6_YEAST,0.59,0.57,0.46,0.14,0.5,0.0,0.52,0.22,MIT
PLB1_YEAST,0.78,0.69,0.44,0.26,0.5,0.0,0.54,0.22,ME1
IF1A_YEAST,0.33,0.36,0.62,0.26,0.5,0.0,0.55,0.22,CYT
NAP1_YEAST,0.36,0.39,0.55,0.26,0.5,0.0,0.49,0.22,NUC
PUT2_YEAST,0.45,0.53,0.51,0.42,0.5,0.0,0.52,0.22,MIT
RLA2_YEAST,0.69,0.54,0.55,0.23,0.5,0.0,0.73,0.22,CYT
RAM1_YEAST,0.59,0.47,0.51,0.53,0.5,0.0,0.53,0.26,CYT
HIS7_YEAST,0.56,0.44,0.56,0.19,0.5,0.0,0.54,0.22,CYT
YHP0_YEAST,0.38,0.44,0.57,0.14,0.5,0.0,0.53,0.52,NUC
YB32_YEAST,0.4,0.44,0.47,0.25,0.5,0.0,0.54,0.56,NUC
AGA1_YEAST,0.78,0.74,0.42,0.26,0.5,0.0,0.43,0.22,ME1
GPDM_YEAST,0.69,0.5,0.49,0.42,0.5,0.0,0.49,0.22,MIT
BSD2_YEAST,0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,ME3
LIP5_YEAST,0.68,0.5,0.55,0.65,0.5,0.0,0.46,0.31,MIT
RLA4_YEAST,0.78,0.82,0.56,0.21,0.5,0.0,0.69,0.22,CYT
HS83_YEAST,0.61,0.54,0.49,0.16,0.5,0.0,0.54,0.42,CYT
UGS2_YEAST,0.58,0.41,0.51,0.26,0.5,0.0,0.51,0.37,CYT
MRS2_YEAST,0.55,0.59,0.47,0.64,0.5,0.0,0.54,0.33,MIT
TOP3_YEAST,0.53,0.51,0.54,0.21,0.5,0.0,0.45,0.22,NUC
TBB_YEAST,0.53,0.42,0.53,0.19,0.5,0.0,0.47,0.22,CYT
MET4_YEAST,0.55,0.65,0.5,0.28,0.5,0.0,0.55,0.22,NUC
SC25_YEAST,0.5,0.48,0.48,0.23,0.5,0.0,0.53,0.68,CYT
YCQ0_YEAST,0.35,0.32,0.31,0.16,0.5,0.0,0.56,0.22,ME3
FAS1_YEAST,0.57,0.61,0.45,0.26,0.5,0.0,0.5,0.22,CYT
R26B_YEAST,0.46,0.54,0.59,0.41,0.5,0.0,0.53,0.21,CYT
BIK1_YEAST,0.64,0.57,0.57,0.27,0.5,0.0,0.37,0.22,CYT
UBIQ_YEAST,0.46,0.47,0.62,0.3,0.5,0.0,0.38,0.22,CYT
XRS2_YEAST,0.64,0.56,0.52,0.17,0.5,0.0,0.54,0.47,NUC
PRTB_YEAST,0.75,0.69,0.48,0.13,0.5,0.0,0.57,0.4,VAC
ADH4_YEAST,0.59,0.45,0.53,0.19,0.5,0.0,0.59,0.27,CYT
E2BA_YEAST,0.45,0.56,0.49,0.17,0.5,0.0,0.52,0.22,CYT
TIP1_YEAST,0.77,0.7,0.44,0.29,0.5,0.0,0.56,0.22,ME1
RT09_YEAST,0.58,0.53,0.5,0.53,0.5,0.0,0.47,0.31,MIT
SUL1_YEAST,0.43,0.28,0.41,0.32,0.5,0.0,0.52,0.22,ME3
RN14_YEAST,0.37,0.58,0.5,0.22,0.5,0.0,0.47,0.22,NUC
R167_YEAST,0.37,0.37,0.51,0.38,0.5,0.0,0.44,0.22,CYT
TRAM_YEAST,0.47,0.52,0.54,0.25,0.5,0.0,0.54,0.29,MIT
COX8_YEAST,0.55,0.45,0.45,0.54,0.5,0.0,0.5,0.22,MIT
CYPC_YEAST,0.47,0.46,0.59,0.49,0.5,0.0,0.56,0.22,MIT
SYLM_YEAST,0.6,0.51,0.52,0.45,0.5,0.0,0.5,0.27,MIT
GLN3_YEAST,0.43,0.54,0.58,0.16,0.5,0.0,0.5,0.36,NUC
EFG1_YEAST,0.53,0.48,0.45,0.44,0.5,0.0,0.49,0.27,MIT
DPOA_YEAST,0.36,0.39,0.54,0.16,0.5,0.0,0.5,0.28,NUC
H4_YEAST,0.37,0.34,0.58,0.24,0.5,0.0,0.44,0.18,NUC
R37B_YEAST,0.4,0.45,0.61,0.29,0.5,0.0,0.44,0.22,CYT
TSL1_YEAST,0.79,0.56,0.53,0.19,0.5,0.0,0.47,0.35,CYT
MSN2_YEAST,0.53,0.4,0.57,0.12,0.5,0.0,0.53,0.32,NUC
SNF3_YEAST,0.37,0.4,0.38,0.18,0.5,0.0,0.51,0.22,ME3
UBC7_YEAST,0.5,0.44,0.57,0.28,0.5,0.0,0.57,0.22,CYT
UMPK_YEAST,0.47,0.59,0.56,0.09,0.5,0.0,0.5,0.22,CYT
NUF2_YEAST,0.64,0.76,0.51,0.18,0.5,0.0,0.46,0.22,NUC
MTA1_YEAST,0.49,0.37,0.59,0.17,0.5,0.0,0.51,0.22,NUC
PROB_YEAST,0.56,0.48,0.5,0.17,0.5,0.0,0.51,0.26,CYT
RPB6_YEAST,0.27,0.31,0.55,0.13,0.5,0.0,0.5,0.22,NUC
STF1_YEAST,0.55,0.41,0.67,0.61,0.5,0.0,0.49,0.14,MIT
PT12_YEAST,0.45,0.53,0.47,0.43,0.5,0.0,0.5,0.27,MIT
SC21_YEAST,0.44,0.71,0.5,0.21,0.5,0.0,0.54,0.27,CYT
DCP2_YEAST,0.49,0.45,0.46,0.18,0.5,0.0,0.49,0.31,CYT
PHO4_YEAST,0.44,0.42,0.57,0.22,0.5,0.0,0.5,0.25,NUC
TRNL_YEAST,0.49,0.38,0.49,0.15,0.5,0.0,0.53,0.25,NUC
SRB4_YEAST,0.49,0.6,0.42,0.18,0.5,0.0,0.58,0.28,NUC
MSH2_YEAST,0.32,0.45,0.44,0.2,0.5,0.0,0.55,0.33,NUC
CARA_YEAST,0.53,0.51,0.46,0.28,0.5,0.0,0.48,0.22,CYT
CB33_YEAST,0.41,0.45,0.53,0.17,0.5,0.0,0.51,0.25,NUC
DYR_YEAST,0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,CYT
SED1_YEAST,0.77,0.82,0.4,0.36,0.5,0.0,0.38,0.22,ME1
VATA_YEAST,0.36,0.51,0.51,0.17,0.5,0.0,0.52,0.22,VAC
CYPD_YEAST,0.78,0.74,0.58,0.25,1.0,0.0,0.53,0.22,ERL
COXE_YEAST,0.49,0.46,0.45,0.45,0.5,0.0,0.52,0.22,MIT
RA14_YEAST,0.39,0.16,0.59,0.08,0.5,0.0,0.51,0.27,NUC
SUI1_YEAST,0.39,0.39,0.65,0.16,0.5,0.0,0.45,0.22,CYT
HS75_YEAST,0.6,0.46,0.51,0.1,0.5,0.0,0.48,0.31,CYT
RL2_YEAST,0.63,0.64,0.45,0.26,0.5,0.0,0.43,0.22,CYT
DHA2_YEAST,0.57,0.53,0.53,0.34,0.5,0.0,0.53,0.22,MIT
NDI1_YEAST,0.53,0.61,0.51,0.49,0.5,0.0,0.54,0.27,MIT
RPB8_YEAST,0.44,0.5,0.55,0.24,0.5,0.0,0.48,0.22,NUC
SC18_YEAST,0.34,0.46,0.52,0.19,0.5,0.0,0.53,0.26,CYT
RM41_YEAST,0.52,0.5,0.59,0.31,0.5,0.0,0.5,0.22,MIT
PRCG_YEAST,0.55,0.63,0.54,0.16,0.5,0.0,0.45,0.27,CYT
H2A2_YEAST,0.44,0.53,0.52,0.37,0.5,0.0,0.5,0.22,NUC
MA3T_YEAST,0.39,0.37,0.33,0.23,0.5,0.0,0.53,0.26,ME3
KPYK_YEAST,0.61,0.55,0.51,0.26,0.5,0.0,0.52,0.22,CYT
STE6_YEAST,0.46,0.61,0.38,0.35,0.5,0.0,0.49,0.22,ME3
IDH1_YEAST,0.53,0.56,0.49,0.46,0.5,0.0,0.52,0.22,MIT
UBP2_YEAST,0.19,0.41,0.55,0.13,0.5,0.0,0.52,0.25,CYT
RT13_YEAST,0.51,0.42,0.56,0.38,0.5,0.0,0.46,0.22,MIT
YEA6_YEAST,0.42,0.71,0.45,0.15,0.5,0.0,0.48,0.22,ME3
SLA2_YEAST,0.46,0.48,0.38,0.22,0.5,0.0,0.39,0.45,ME3
GLNA_YEAST,0.44,0.34,0.55,0.18,0.5,0.0,0.52,0.22,CYT
YCH0_YEAST,0.55,0.35,0.36,0.29,0.5,0.0,0.51,0.22,ME3
YKN4_YEAST,0.46,0.62,0.46,0.54,0.5,0.0,0.51,0.27,MIT
OM20_YEAST,0.72,0.58,0.42,0.28,0.5,0.0,0.48,0.22,MIT
SWI3_YEAST,0.47,0.47,0.5,0.19,0.5,0.0,0.51,0.26,NUC
RPC5_YEAST,0.38,0.38,0.54,0.24,0.5,0.0,0.54,0.22,NUC
ITR2_YEAST,0.35,0.53,0.35,0.33,0.5,0.0,0.5,0.32,ME3
YCW2_YEAST,0.54,0.54,0.56,0.18,0.5,0.0,0.46,0.29,NUC
CC16_YEAST,0.62,0.51,0.52,0.42,0.5,0.0,0.54,0.27,NUC
NOT4_YEAST,0.47,0.44,0.53,0.18,0.5,0.0,0.47,0.29,NUC
RPB9_YEAST,0.34,0.47,0.48,0.32,0.5,0.0,0.42,0.22,NUC
RU1A_YEAST,0.47,0.46,0.55,0.28,0.5,0.0,0.44,0.46,NUC
PH80_YEAST,0.53,0.54,0.43,0.18,0.5,0.0,0.53,0.31,NUC
YJ64_YEAST,0.85,0.85,0.3,0.31,0.5,0.0,0.55,0.42,ME1
KC21_YEAST,0.31,0.31,0.56,0.33,0.5,0.0,0.52,0.33,NUC
MAT2_YEAST,0.51,0.48,0.58,0.22,0.5,0.0,0.5,0.28,NUC
STP1_YEAST,0.48,0.54,0.56,0.29,0.5,0.0,0.51,0.43,NUC
CHL1_YEAST,0.42,0.51,0.5,0.12,0.5,0.0,0.52,0.46,NUC
YCS4_YEAST,0.51,0.38,0.42,0.21,0.5,0.0,0.46,0.34,ME3
PDR3_YEAST,0.61,0.46,0.44,0.47,0.5,0.0,0.5,0.37,NUC
CIN4_YEAST,0.66,0.45,0.5,0.23,0.5,0.0,0.49,0.22,CYT
YJ90_YEAST,0.65,0.61,0.39,0.3,0.5,0.0,0.57,0.28,ME3
YHD5_YEAST,0.38,0.67,0.33,0.17,0.5,0.0,0.51,0.22,ME3
RNC1_YEAST,0.47,0.47,0.5,0.15,0.5,0.0,0.5,0.48,NUC
H150_YEAST,0.74,0.71,0.52,0.3,0.5,0.0,0.27,0.22,EXC
LYP1_YEAST,0.46,0.14,0.36,0.21,0.5,0.0,0.5,0.25,ME3
STL1_YEAST,0.36,0.5,0.39,0.23,0.5,0.0,0.5,0.22,ME3
TOA1_YEAST,0.57,0.29,0.63,0.22,0.5,0.0,0.49,0.27,NUC
SX19_YEAST,0.32,0.68,0.51,0.16,0.5,0.83,0.55,0.22,POX
DPOD_YEAST,0.25,0.39,0.5,0.23,0.5,0.0,0.5,0.28,NUC
TCPZ_YEAST,0.49,0.48,0.52,0.24,0.5,0.0,0.5,0.22,CYT
RL4A_YEAST,0.56,0.35,0.47,0.41,0.5,0.0,0.5,0.22,CYT
AROC_YEAST,0.6,0.47,0.45,0.22,0.5,0.0,0.51,0.29,CYT
RM27_YEAST,0.44,0.44,0.67,0.35,0.5,0.0,0.48,0.26,MIT
MPI2_YEAST,0.59,0.57,0.43,0.26,0.5,0.0,0.51,0.22,MIT
YHY0_YEAST,0.82,0.63,0.47,0.18,0.5,0.0,0.5,0.22,POX
UBC5_YEAST,0.5,0.46,0.49,0.27,0.5,0.0,0.6,0.22,CYT
ERG8_YEAST,0.62,0.58,0.46,0.13,0.5,0.0,0.53,0.22,CYT
UBC6_YEAST,0.43,0.48,0.36,0.26,0.5,0.0,0.52,0.22,ME3
ERS1_YEAST,0.73,0.55,0.41,0.16,0.5,0.0,0.46,0.22,ME2
MTC_YEAST,0.38,0.51,0.75,0.17,0.5,0.0,0.55,0.22,CYT
KTR3_YEAST,0.58,0.76,0.4,0.37,0.5,0.0,0.54,0.3,ME2
MBP1_YEAST,0.5,0.49,0.52,0.2,0.5,0.0,0.43,0.52,NUC
SC62_YEAST,0.54,0.44,0.35,0.19,0.5,0.0,0.51,0.27,ME3
SED4_YEAST,0.52,0.55,0.39,0.09,1.0,0.0,0.55,0.25,ME3
SYG_YEAST,0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,CYT
YAB9_YEAST,0.4,0.45,0.45,0.15,0.5,0.0,0.53,0.48,NUC
P152_YEAST,0.41,0.53,0.41,0.15,0.5,0.0,0.54,0.25,NUC
R271_YEAST,0.39,0.65,0.57,0.19,0.5,0.0,0.44,0.25,CYT
COQ3_YEAST,0.52,0.56,0.54,0.53,0.5,0.0,0.45,0.22,MIT
FHL1_YEAST,0.33,0.44,0.49,0.08,0.5,0.0,0.48,0.49,NUC
PEM2_YEAST,0.48,0.49,0.45,0.23,0.5,0.0,0.51,0.22,ME3
SYN_YEAST,0.47,0.41,0.53,0.27,0.5,0.0,0.47,0.25,MIT
PGM1_YEAST,0.43,0.45,0.53,0.19,0.5,0.0,0.56,0.22,CYT
PMT2_YEAST,0.27,0.49,0.36,0.26,0.5,0.0,0.49,0.26,ME3
MA6R_YEAST,0.33,0.38,0.53,0.26,0.5,0.0,0.52,0.27,NUC
PMS1_YEAST,0.38,0.48,0.51,0.13,0.5,0.0,0.5,0.32,NUC
RL35_YEAST,0.52,0.47,0.58,0.18,0.5,0.0,0.34,0.11,CYT
PUB1_YEAST,0.48,0.5,0.56,0.11,0.5,0.0,0.33,0.22,CYT
GAP1_YEAST,0.49,0.46,0.34,0.21,0.5,0.0,0.55,0.22,ME3
RS31_YEAST,0.57,0.48,0.54,0.22,0.5,0.0,0.5,0.11,CYT
EF1B_YEAST,0.39,0.45,0.53,0.18,0.5,0.0,0.54,0.22,CYT
SRPR_YEAST,0.55,0.46,0.47,0.15,0.5,0.0,0.47,0.22,ME3
RPCX_YEAST,0.5,0.56,0.63,0.25,0.5,0.0,0.42,0.22,NUC
YKH4_YEAST,0.39,0.35,0.49,0.17,0.5,0.0,0.49,0.22,NUC
YAC2_YEAST,0.49,0.53,0.36,0.15,0.5,0.0,0.52,0.27,ME3
HS72_YEAST,0.51,0.48,0.51,0.19,0.5,0.0,0.51,0.27,CYT
TPM1_YEAST,0.42,0.45,0.75,0.21,0.5,0.0,0.48,0.22,CYT
MPP1_YEAST,0.47,0.54,0.54,0.48,0.5,0.0,0.53,0.26,MIT
CC68_YEAST,0.36,0.68,0.46,0.16,0.5,0.0,0.53,0.28,NUC
ANC1_YEAST,0.53,0.31,0.58,0.39,0.5,0.0,0.47,0.37,NUC
PRCH_YEAST,0.42,0.53,0.57,0.17,0.5,0.0,0.49,0.22,CYT
STU1_YEAST,0.33,0.37,0.49,0.22,0.5,0.0,0.55,0.22,CYT
MAS5_YEAST,0.64,0.44,0.56,0.15,0.5,0.0,0.56,0.22,CYT
STE5_YEAST,0.45,0.57,0.52,0.21,0.5,0.0,0.54,0.38,NUC
EST1_YEAST,0.35,0.6,0.47,0.13,0.5,0.0,0.52,0.43,NUC
PEP8_YEAST,0.4,0.36,0.55,0.15,0.5,0.0,0.53,0.22,VAC
MSH1_YEAST,0.49,0.44,0.45,0.55,0.5,0.0,0.48,0.22,MIT
SSB1_YEAST,0.44,0.39,0.63,0.11,0.5,0.0,0.49,0.26,NUC
PTSR_YEAST,0.5,0.5,0.54,0.16,0.5,0.0,0.49,0.22,POX
ZIP1_YEAST,0.47,0.43,0.61,0.4,0.5,0.0,0.48,0.47,NUC
YBE2_YEAST,0.26,0.3,0.37,0.15,0.5,0.0,0.53,0.25,ME3
PUR4_YEAST,0.43,0.44,0.48,0.22,0.5,0.0,0.51,0.22,CYT
HXT8_YEAST,0.42,0.44,0.33,0.17,0.5,0.0,0.54,0.27,ME3
LYS1_YEAST,0.5,0.45,0.48,0.17,0.5,0.0,0.5,0.26,CYT
CYT2_YEAST,0.27,0.39,0.66,0.11,0.5,0.0,0.44,0.22,MIT
S61A_YEAST,0.55,0.72,0.35,0.26,0.5,0.0,0.49,0.22,ME3
ATR1_YEAST,0.28,0.58,0.21,0.13,0.5,0.0,0.51,0.22,ME3
GR78_YEAST,0.85,0.56,0.33,0.38,1.0,0.0,0.55,0.25,ERL
CYC1_YEAST,0.46,0.54,0.71,0.15,0.5,0.0,0.59,0.22,MIT
CHS1_YEAST,0.26,0.5,0.33,0.28,0.5,0.0,0.51,0.22,ME3
GALX_YEAST,0.62,0.58,0.52,0.15,0.5,0.0,0.52,0.29,CYT
SSO2_YEAST,0.25,0.42,0.21,0.14,0.5,0.0,0.41,0.22,ME3
R104_YEAST,0.44,0.33,0.55,0.16,0.5,0.0,0.49,0.22,NUC
GCN4_YEAST,0.56,0.54,0.59,0.14,0.5,0.0,0.52,0.27,NUC
YBT6_YEAST,0.54,0.44,0.38,0.22,0.5,0.0,0.54,0.3,ME3
OSTB_YEAST,0.78,0.71,0.35,0.25,0.5,0.0,0.49,0.22,ME1
GSP2_YEAST,0.58,0.48,0.56,0.12,0.5,0.0,0.46,0.25,NUC
HOP1_YEAST,0.29,0.68,0.47,0.26,0.5,0.0,0.47,0.37,NUC
YIN0_YEAST,0.35,0.29,0.46,0.14,0.5,0.0,0.54,0.66,NUC
